<!-- Mode: physical lines (non-empty) -->

| Lines | File |
| 102 | `tools/docx_table_utils.py` |
| 102 | `tools/docx_renderer/table_cell/fill_metadata.py` |
| 100 | `tools/db/ingest_g3_math_phase3_corpus.py` |
| 99 | `tools/test_hyperlink_robustness.py` |
| 99 | `tools/maintenance/fix_all_plans.py` |
| 98 | `tools/db/reingest_grade3_ela_sample.py` |
| 97 | `backend/routers/users_list_logic.py` |
| 97 | `frontend/src/components/SupabaseSyncToggle.tsx` |
| 97 | `tools/investigate_wilson_fallback.py` |
| 97 | `tools/diagnostics/debug_slot_mismatch.py` |
| 96 | `tools/check_recent_outputs.py` |
| 96 | `tools/hydra_processor.py` |
| 96 | `tools/run_lesson_json_migration.py` |
| 96 | `tools/scraper/slides_processor.py` |
| 95 | `tools/review_users.py` |
| 95 | `tools/db/g3_math_phase3_corpus.py` |
| 94 | `backend/mock_llm_service.py` |
| 94 | `tools/find_plan_by_student_goal.py` |
| 93 | `frontend/src/components/batch_processor/ConfirmDialog.tsx` |
| 93 | `tools/batch_processor_pkg/persistence.py` |
| 92 | `backend/schemas/curriculum.py` |
| 92 | `frontend/src/components/slot_configurator/index.tsx` |
| 92 | `tools/test_phase2_renderer.py` |
| 92 | `tools/db/reingest_grade2_ela_unit8_sample.py` |
| 90 | `tools/db/ingest_wave_unit.py` |
| 90 | `tools/diagnostics/check_supabase_schedule_data.py` |
| 90 | `tools/scraper/organizer.py` |
| 88 | `backend/migrations/create_original_lesson_plans_table.py` |
| 87 | `backend/original_lesson_schema_models.py` |
| 87 | `backend/database/engine.py` |
| 87 | `backend/services/lesson_steps/plan_resolve.py` |
| 87 | `tools/diagnostics/check_w45_no_school.py` |
| 86 | `backend/services/objectives/extraction.py` |
| 86 | `tools/diagnostics/check_step_generation.py` |
| 85 | `backend/llm/json_pre_validation.py` |
| 85 | `tools/db/reingest_grade3_math_unit2.py` |
| 84 | `backend/services/objectives_pdf_resolve.py` |
| 84 | `frontend/src/components/analytics/SummaryCards.tsx` |
| 84 | `tools/check_db_status.py` |
| 84 | `tools/batch_processor_pkg/slot_flow_no_school.py` |
| 84 | `tools/diagnostics/check_json_structure.py` |
| 84 | `tools/scraper/scan_curriculum_docx.py` |
| 83 | `backend/migrations/create_schedules_table.py` |
| 83 | `tools/docx_style_file.py` |
| 83 | `tools/diagnostics/check_demo_data.py` |
| 83 | `tools/scraper/ingest_all_unit2_api_v2.py` |
| 82 | `backend/bundle_sidecar.py` |
| 82 | `tools/diagnostics/check_specific_files_widths.py` |
| 81 | `tools/batch_processor_pkg/render_helpers.py` |
| 81 | `tools/diagnostics/check_duplicate_users.py` |
| 81 | `tools/diagnostics/check_missing_links.py` |
| 80 | `frontend/src/lib/mobile.test.ts` |
| 80 | `tools/test_json_merger_sample_days.py` |
| 80 | `tools/diagnostics/debug_thursday.py` |
| 79 | `backend/migrations/add_parallel_processing_metrics.py` |
| 79 | `backend/services/objectives_utils.py` |
| 79 | `tools/batch_processor_pkg/week_flow_existing.py` |
| 79 | `tools/db/utils/gdoc_styles.py` |
